x,y,id
11.511,48.198,563
11.512,48.198,564
11.513,48.198,565
11.514,48.198,566
11.515,48.198,567
11.516,48.198,568
11.517,48.198,569
11.518,48.198,570
11.519,48.198,571
11.52,48.198,572
11.521,48.198,573
11.522,48.198,574
11.523,48.198,575
11.524,48.198,576
11.525,48.198,577
11.526,48.198,578
11.527,48.198,579
11.528,48.198,580
11.529,48.198,581
11.53,48.198,582
11.531,48.198,583
11.532,48.198,584
11.533,48.198,585
11.534,48.198,586
11.535,48.198,587
11.536,48.198,588
11.537,48.198,589
11.538,48.198,590
11.539,48.198,591
11.54,48.198,592
11.541,48.198,593
11.542,48.198,594
11.543,48.198,595
11.544,48.198,596
11.545,48.198,597
11.546,48.198,598
11.547,48.198,599
11.548,48.198,600
11.549,48.198,601
11.55,48.198,602
11.551,48.198,603
11.552,48.198,604
11.553,48.198,605
11.554,48.198,606
11.555,48.198,607
11.556,48.198,608
11.557,48.198,609
11.558,48.198,610
11.559,48.198,611
11.56,48.198,612
11.561,48.198,613
11.562,48.198,614
11.563,48.198,615
11.564,48.198,616
11.565,48.198,617
11.566,48.198,618
11.567,48.198,619
11.568,48.198,620
